state,county,name,pop_tot,pct_ed_lt9,pct_ed_9_12,pct_ed_hs,pct_ed_sc,pct_ed_asc,pct_ed_b,pct_ed_gr,pct_age_gte65,pct_race_white,pct_race_black,pct_race_aian,pct_race_asian,pct_race_nhopi,pct_race_other,pct_eth_hisp,pct_sex_male,pct_sex_female,pct_occ_unemp,pct_occ_mgt,pct_occ_svc,pct_occ_sales,pct_occ_nat_res,pct_occ_prod,pct_hlth_unins,pct_ses_pov,pct_tp_veh_0,pct_tp_veh_1,pct_tp_veh_2,pct_tp_veh_3,pct_dg_bb_int,fips
01,001,"Autauga County, Alabama",58239,2.0,8.4,32.8,19.6,9.1,16.4,11.7,15.1,75.1,19.7,0.2,1.1,0.0,0.3,3.0,48.4,51.6,1.6,38.1,15.1,21.9,9.5,15.5,7.9,13.6,5.4,31.5,33.8,29.3,85.5,01001
01,003,"Baldwin County, Alabama",227131,2.1,6.9,27.4,21.7,9.5,20.6,11.8,20.6,84.5,8.8,0.6,1.0,0.0,1.8,4.7,48.8,51.2,2.2,36.1,17.8,23.6,9.5,13.0,9.7,9.2,2.4,31.7,43.2,22.7,87.9,01003
01,005,"Barbour County, Alabama",25259,7.4,16.9,36.7,20.5,7.3,6.7,4.4,19.0,45.5,47.4,0.3,0.4,0.0,3.9,4.7,52.9,47.1,3.9,25.6,20.7,19.9,12.2,21.6,10.4,26.5,11.2,33.3,33.8,21.7,64.6,01005
01,007,"Bibb County, Alabama",22412,6.2,13.3,43.9,18.0,6.7,7.9,4.0,16.0,75.9,22.3,0.1,0.2,0.0,0.1,2.8,54.9,45.1,4.8,22.0,16.8,21.5,16.6,23.1,10.0,16.9,6.3,24.7,37.7,31.3,74.6,01007
01,009,"Blount County, Alabama",58884,6.8,9.6,35.1,21.5,12.1,9.3,5.6,18.0,92.5,1.3,0.3,0.4,0.1,2.1,9.5,50.1,49.9,3.3,28.2,13.8,21.6,15.3,21.1,10.0,13.2,4.5,25.0,32.1,38.4,81.0,01009
01,011,"Bullock County, Alabama",10386,6.4,16.0,41.3,19.2,5.4,8.1,3.5,16.2,24.8,69.0,0.0,0.4,0.0,4.0,8.5,54.5,45.5,1.4,19.9,16.7,10.7,14.9,37.8,10.1,30.9,13.0,38.6,29.5,18.9,59.4,01011
01,013,"Butler County, Alabama",19181,3.8,10.6,45.2,18.7,7.6,8.1,5.9,20.8,51.6,44.8,0.2,1.5,0.0,0.2,1.6,46.8,53.2,3.5,26.6,15.3,21.8,12.1,24.2,11.4,18.2,5.6,31.7,31.3,31.4,76.3,01013
01,015,"Calhoun County, Alabama",116425,4.3,10.5,34.6,23.2,7.9,11.4,8.1,17.7,72.8,21.5,0.2,0.8,0.2,1.7,4.0,48.2,51.8,3.9,30.1,18.1,21.8,9.6,20.3,11.2,17.5,6.0,30.9,35.9,27.3,81.6,01015
01,017,"Chambers County, Alabama",34834,6.0,11.2,36.2,23.1,9.8,9.6,4.1,19.6,56.9,40.1,0.2,1.0,0.0,0.5,2.7,48.0,52.0,1.8,26.3,16.6,17.6,9.4,30.0,10.5,15.1,6.7,27.2,37.4,28.7,77.1,01017
01,019,"Cherokee County, Alabama",24975,7.3,12.8,36.9,19.5,10.6,6.2,6.6,22.9,91.5,4.7,0.3,0.1,0.0,1.0,1.8,49.5,50.5,2.3,32.1,15.1,16.3,13.1,23.5,9.8,15.0,3.6,26.4,38.7,31.3,76.7,01019
01,021,"Chilton County, Alabama",44857,6.1,12.2,42.9,17.8,7.5,7.9,5.6,16.4,81.1,8.8,1.4,0.5,0.0,3.8,8.0,48.8,51.2,3.5,23.1,12.8,21.2,19.8,23.1,12.4,15.7,3.4,26.1,40.3,30.2,78.3,01021
01,023,"Choctaw County, Alabama",12792,6.6,12.8,37.5,21.2,10.2,8.1,3.6,22.8,56.7,41.3,0.1,0.1,0.0,0.7,1.1,47.7,52.3,2.8,22.7,14.8,26.5,18.1,17.9,11.1,21.6,6.4,25.9,38.5,29.2,63.7,01023
01,025,"Clarke County, Alabama",23346,5.4,12.3,41.4,19.0,7.9,8.5,5.4,19.7,52.0,45.4,0.1,0.4,0.0,0.8,1.4,47.7,52.3,5.9,26.4,15.3,25.3,13.1,19.9,10.9,21.9,8.9,30.0,33.5,27.6,67.8,01025
