fips,year,stateabbr,statedesc,locationname,totalpopulation,access2,checkup,csmoking,depression,diabetes,ghlth,mhlth,obesity
01001,2021,AL,Alabama,Autauga,59095,10.4,76.0,16.9,22.7,10.7,17.3,18.0,38.9
01003,2021,AL,Alabama,Baldwin,239294,9.5,72.6,15.0,23.2,9.8,15.2,17.3,37.2
01005,2021,AL,Alabama,Barbour,24964,17.2,76.6,25.0,22.6,15.6,27.3,20.5,43.4
01007,2021,AL,Alabama,Bibb,22477,14.3,72.7,22.0,23.3,12.4,22.0,19.4,39.6
01009,2021,AL,Alabama,Blount,59041,13.1,72.7,19.6,24.2,10.5,18.6,18.8,37.7
01011,2021,AL,Alabama,Bullock,10320,19.2,78.2,25.7,20.2,18.7,30.7,20.5,48.9
01013,2021,AL,Alabama,Butler,18884,13.3,77.3,21.1,21.4,14.0,23.4,19.9,42.0
01015,2021,AL,Alabama,Calhoun,115972,12.2,75.3,20.8,23.3,12.0,20.8,19.1,38.9
01017,2021,AL,Alabama,Chambers,34541,13.1,77.4,20.3,22.8,13.4,22.0,19.5,43.9
01019,2021,AL,Alabama,Cherokee,24996,13.0,72.7,22.2,26.5,11.1,20.6,20.1,37.8
01021,2021,AL,Alabama,Chilton,45274,14.1,72.7,21.7,24.3,11.5,20.6,19.7,42.3
01023,2021,AL,Alabama,Choctaw,12533,14.2,76.9,22.3,23.3,14.4,24.1,20.5,44.7
01025,2021,AL,Alabama,Clarke,22760,14.1,77.3,21.5,22.1,14.3,23.7,19.7,43.4
01027,2021,AL,Alabama,Clay,14190,13.1,74.0,21.2,25.8,11.9,21.3,20.0,41.6
01029,2021,AL,Alabama,Cleburne,15103,12.5,73.7,20.7,26.0,11.0,19.8,19.9,36.1
01031,2021,AL,Alabama,Coffee,54174,12.3,76.2,18.5,24.1,11.3,19.4,18.8,39.5
01033,2021,AL,Alabama,Colbert,57474,11.5,74.9,19.3,24.2,10.9,18.7,19.1,39.3
01035,2021,AL,Alabama,Conecuh,11328,14.3,77.3,22.5,23.1,14.8,24.5,20.0,45.3
01037,2021,AL,Alabama,Coosa,10450,12.5,75.5,19.9,22.8,12.0,20.2,19.0,39.0
01039,2021,AL,Alabama,Covington,37524,12.5,75.1,21.8,24.4,11.8,20.6,19.8,40.2
01041,2021,AL,Alabama,Crenshaw,13083,13.3,75.7,20.9,23.3,12.2,21.5,19.5,38.2
01043,2021,AL,Alabama,Cullman,89496,11.7,74.8,18.9,25.2,10.3,18.2,18.8,37.7
01045,2021,AL,Alabama,Dale,49342,12.9,75.2,20.3,23.4,12.3,20.6,19.4,38.9
01047,2021,AL,Alabama,Dallas,37619,14.1,79.9,22.1,21.1,16.3,26.6,20.4,44.6
01049,2021,AL,Alabama,DeKalb,71813,16.7,71.8,22.2,25.8,12.5,23.1,20.7,41.0
01051,2021,AL,Alabama,Elmore,89304,10.7,76.3,16.8,23.0,10.6,16.9,17.8,38.8
01053,2021,AL,Alabama,Escambia,36699,15.5,76.0,24.4,23.3,14.3,25.5,20.9,45.8
01055,2021,AL,Alabama,Etowah,103162,12.3,74.4,19.4,25.0,11.4,20.1,19.9,39.3
01057,2021,AL,Alabama,Fayette,16148,13.6,74.5,22.7,25.3,12.2,22.0,20.6,37.7
01059,2021,AL,Alabama,Franklin,32013,17.5,73.1,21.8,24.7,12.6,23.0,19.9,39.1
01061,2021,AL,Alabama,Geneva,26701,14.0,74.9,22.2,25.8,12.6,22.5,20.7,41.6
01063,2021,AL,Alabama,Greene,7629,17.7,79.9,26.7,20.5,20.3,32.3,22.0,52.0
01065,2021,AL,Alabama,Hale,14754,15.1,78.6,22.9,22.4,15.7,26.2,20.5,46.1
01067,2021,AL,Alabama,Henry,17459,12.5,75.9,19.5,23.1,11.8,20.2,19.1,38.3
01069,2021,AL,Alabama,Houston,107458,12.1,75.4,19.6,24.8,11.7,19.7,18.9,39.6
01071,2021,AL,Alabama,Jackson,52773,13.1,73.3,21.6,25.1,11.6,20.8,20.1,37.7
01073,2021,AL,Alabama,Jefferson,667820,10.6,76.7,16.4,21.9,12.6,18.5,17.7,39.3
01075,2021,AL,Alabama,Lamar,13689,12.9,74.0,21.7,25.1,11.5,20.7,20.1,38.7
01077,2021,AL,Alabama,Lauderdale,94043,10.7,74.5,18.5,24.7,10.8,17.8,18.5,38.0
01079,2021,AL,Alabama,Lawrence,33090,13.0,74.1,21.8,24.6,11.8,20.9,19.9,41.3
01081,2021,AL,Alabama,Lee,177218,10.1,75.3,15.9,21.5,11.3,17.4,17.2,38.9
01083,2021,AL,Alabama,Limestone,107517,10.8,74.3,16.8,22.6,10.5,17.1,17.6,36.6
01085,2021,AL,Alabama,Lowndes,9965,15.5,80.0,23.3,20.0,17.3,27.8,20.4,47.4
01087,2021,AL,Alabama,Macon,18895,13.3,80.4,20.1,20.3,16.5,24.9,19.5,47.9
01089,2021,AL,Alabama,Madison,395211,8.9,77.8,13.8,21.9,10.2,14.4,16.4,41.9
01091,2021,AL,Alabama,Marengo,18996,13.7,77.2,20.8,21.3,14.9,23.9,19.5,47.2
01093,2021,AL,Alabama,Marion,29246,13.1,73.7,22.0,25.8,11.4,21.0,20.3,39.2
01095,2021,AL,Alabama,Marshall,98228,14.0,73.4,19.6,24.6,11.3,19.9,19.5,34.6
01097,2021,AL,Alabama,Mobile,413073,12.4,76.4,18.9,22.6,13.5,21.2,19.5,40.6
01099,2021,AL,Alabama,Monroe,19648,14.8,76.8,23.3,22.6,14.7,25.0,20.9,44.2
01101,2021,AL,Alabama,Montgomery,227434,11.8,78.7,17.6,19.3,14.5,21.6,18.1,38.2
01103,2021,AL,Alabama,Morgan,123668,12.6,75.2,18.9,24.2,11.4,19.2,18.9,42.7
01105,2021,AL,Alabama,Perry,8355,17.3,79.0,26.5,22.3,19.4,31.7,22.1,52.5
01107,2021,AL,Alabama,Pickens,18801,15.5,76.5,22.0,22.6,14.2,24.2,19.8,44.9
01109,2021,AL,Alabama,Pike,32991,12.2,76.1,19.7,21.8,13.5,21.2,19.3,41.5
01111,2021,AL,Alabama,Randolph,21989,12.8,75.7,20.3,24.3,12.0,20.8,19.9,40.1
01113,2021,AL,Alabama,Russell,58722,13.5,77.6,20.2,23.4,14.2,22.9,19.5,43.8
01115,2021,AL,Alabama,St. Clair,92748,11.2,73.2,18.2,24.0,10.4,17.3,18.4,39.2
01117,2021,AL,Alabama,Shelby,226902,8.0,77.0,12.7,21.7,8.9,12.8,15.6,33.3
01119,2021,AL,Alabama,Sumter,12164,14.4,79.6,23.0,20.9,18.2,27.6,20.4,47.5
01121,2021,AL,Alabama,Talladega,81524,13.4,75.1,21.3,23.2,13.4,22.7,20.3,42.1
01123,2021,AL,Alabama,Tallapoosa,41023,12.7,74.9,20.5,23.7,12.3,21.0,19.1,41.2
01125,2021,AL,Alabama,Tuscaloosa,227007,10.6,76.8,17.4,22.1,12.4,18.5,18.3,41.6
01127,2021,AL,Alabama,Walker,64818,12.7,73.1,21.4,25.2,11.3,20.8,20.5,38.0
01129,2021,AL,Alabama,Washington,15147,13.1,74.8,22.8,23.2,13.4,23.0,20.3,41.7
01131,2021,AL,Alabama,Wilcox,10446,17.0,79.1,25.4,21.5,18.0,29.8,21.4,48.5
01133,2021,AL,Alabama,Winston,23652,14.0,73.2,22.6,26.3,11.4,21.4,20.5,39.1
02013,2021,AK,Alaska,Aleutians East,3398,16.9,60.7,18.6,13.1,12.6,19.1,12.9,31.3
02016,2021,AK,Alaska,Aleutians West,5059,13.7,61.6,15.5,13.4,10.9,15.3,12.2,30.3
02020,2021,AK,Alaska,Anchorage,288121,10.4,62.9,14.9,19.5,7.8,13.5,14.5,32.9
02050,2021,AK,Alaska,Bethel,18557,19.2,62.6,35.4,21.2,15.9,30.0,21.4,43.1
02060,2021,AK,Alaska,Bristol Bay,838,10.3,61.4,18.7,18.8,8.6,14.4,15.4,35.6
02063,2021,AK,Alaska,Chugach,6941,9.8,61.1,15.4,20.1,7.3,12.8,14.6,31.4
02066,2021,AK,Alaska,Copper River,2630,11.8,61.4,19.4,20.0,8.6,15.8,16.0,34.9
02068,2021,AK,Alaska,Denali,1593,10.1,61.7,16.9,19.9,8.3,14.2,15.0,27.6
02070,2021,AK,Alaska,Dillingham,4772,15.4,59.0,29.1,20.3,13.3,23.8,19.0,40.7
02090,2021,AK,Alaska,Fairbanks North Star,95593,10.1,62.3,16.0,19.5,8.0,13.3,14.5,33.9
02100,2021,AK,Alaska,Haines,2071,11.2,58.5,19.7,21.8,8.8,15.8,16.6,32.3
02105,2021,AK,Alaska,Hoonah-Angoon,2332,12.4,63.0,21.4,20.4,10.0,17.7,16.9,38.6
02110,2021,AK,Alaska,Juneau,31973,9.2,65.4,14.5,20.2,7.2,12.2,14.4,30.9
02122,2021,AK,Alaska,Kenai Peninsula,59767,10.8,59.5,17.9,22.2,8.0,14.7,15.9,31.4
02130,2021,AK,Alaska,Ketchikan Gateway,13754,10.8,61.7,17.9,19.9,8.4,14.5,15.3,33.3
02150,2021,AK,Alaska,Kodiak Island,12787,11.3,63.4,16.3,16.0,8.8,13.7,13.8,30.0
02158,2021,AK,Alaska,Kusilvak,8360,23.0,61.7,42.8,23.7,19.6,37.5,24.6,48.8
02164,2021,AK,Alaska,Lake and Peninsula,1416,13.6,61.9,25.7,20.7,12.0,20.9,18.0,39.6
02170,2021,AK,Alaska,Matanuska-Susitna,110686,11.6,61.6,19.3,22.2,7.7,15.3,16.3,35.2
02180,2021,AK,Alaska,Nome,9865,15.6,61.1,30.9,19.8,13.8,24.8,18.8,40.8
02185,2021,AK,Alaska,North Slope,10972,12.9,62.1,23.9,17.5,10.7,18.1,15.8,36.5
02188,2021,AK,Alaska,Northwest Arctic,7560,16.8,60.6,31.3,20.3,14.0,25.6,19.4,40.8
02195,2021,AK,Alaska,Petersburg,3356,10.9,59.1,17.4,19.9,7.8,14.2,15.3,30.7
02198,2021,AK,Alaska,Prince of Wales-Hyder,5729,13.5,59.9,25.0,20.1,10.9,19.8,18.0,39.1
02220,2021,AK,Alaska,Sitka,8407,10.1,63.6,16.4,18.7,8.1,13.4,14.6,31.7
02230,2021,AK,Alaska,Skagway,1132,11.1,59.8,17.1,20.2,7.6,13.6,15.1,32.9
