Variable,Coef,Std Err,t,95% CI,CI Lower,CI Upper
const,0.741,0.063,11.761,"0.617 , 0.864",0.617 , 0.864
structural_internet_adoption,-0.062,0.028,-2.199,"-0.118 , -0.007",-0.118 , -0.007
diff_brfss_access2,0.068,0.009,7.871,"0.051 , 0.085",0.051 , 0.085
diff_brfss_checkup,0.023,0.006,3.702,"0.011 , 0.035",0.011 , 0.035
diff_brfss_csmoking,0.164,0.011,15.067,"0.143 , 0.186",0.143 , 0.186
diff_brfss_mhlth,0.061,0.018,3.458,"0.026 , 0.095",0.026 , 0.095
diff_brfss_obesity,0.037,0.005,8.171,"0.028 , 0.046",0.028 , 0.046
diff_acs_pct_tp_veh_1,-0.011,0.016,-0.667,"-0.042 , 0.021",-0.042 , 0.021
diff_acs_pct_tp_veh_2,-0.025,0.016,-1.536,"-0.056 , 0.007",-0.056 , 0.007
diff_acs_pct_tp_veh_3,-0.024,0.017,-1.437,"-0.057 , 0.009",-0.057 , 0.009
